Time	Raw Data				
0.10483871	29287.00		-506.878033738972-1892.61700219229i	3.1484375	1959.317345
0.108870968	29295.00		550.670112797201-891.712012169022i	3.26953125	1048.040021
0.112903226	29295.00		-1842.49796840903+156.859849544725i	3.390625	1849.162993
0.116935484	29312.00		224.792042472468-2658.46455614754i	3.51171875	2667.95151
0.120967742	29330.00		1193.4069299832-3013.13650540504i	3.6328125	3240.865887
0.125	29335.00		461.907333333705-1217.83634244641i	3.75390625	1302.491359
0.129032258	29330.00		-2135.9773952584-2731.60284925674i	3.875	3467.571709
0.133064516	29316.00		2873.41397076652-1329.37545787103i	3.99609375	3166.030157
0.137096774	29311.00		83.5967714207734-556.998316245793i	4.1171875	563.2366683
0.141129032	29294.00		-132.15007975546-1683.61919352559i	4.23828125	1688.79757
0.14516129	29274.00		926.146638297031-900.821902268471i	4.359375	1291.98595
0.149193548	29288.00		-1424.18894635677+81.8389450997072i	4.48046875	1426.538386
0.153225806	29291.00		-8.02677254960311-1302.58640450102i	4.6015625	1302.611135
0.157258065	29300.00		-218.861961152464+1877.02129751098i	4.72265625	1889.737947
0.161290323	29309.00		2991.07116894865-3905.40352993453i	4.84375	4919.215737
0.165322581	29301.00		-51.4669882952202+1022.51656246792i	4.96484375	1023.811004
0.169354839	29288.00		-648.746599367562+1988.42927753078i	5.0859375	2091.583884
0.173387097	29277.00		-1323.28471282069+932.325111054935i	5.20703125	1618.737948
0.177419355	29271.00		-182.987848767331-327.204013087495i	5.328125	374.8960109
0.181451613	29267.00		1429.93811820045-950.010621418874i	5.44921875	1716.753681
0.185483871	29244.00		-1489.29554474177+1183.18732501114i	5.5703125	1902.086608
0.189516129	29246.00		-1494.54661465892-685.716467256002i	5.69140625	1644.346879
0.193548387	29258.00		-2021.53922599571-2586.17412293912i	5.8125	3282.516936
0.197580645	29272.00		346.768315379232+1263.82672642484i	5.93359375	1310.53663
0.201612903	29275.00		-400.938778018178-1115.72018487591i	6.0546875	1185.573041
0.205645161	29275.00		-974.330310561461+2275.29904498982i	6.17578125	2475.13743
0.209677419	29282.00		-941.888704835657-498.734435440913i	6.296875	1065.781577
0.213709677	29296.00		947.201901169138-322.894858406151i	6.41796875	1000.726002
0.217741935	29284.00		2204.54943607862+697.67605467927i	6.5390625	2312.312715
0.221774194	29278.00		1209.60856306193-1176.53412019512i	6.66015625	1687.41975
0.225806452	29274.00		-319.998309907441+610.297702163259i	6.78125	689.1024623
0.22983871	29280.00		515.531310081121+356.871790551849i	6.90234375	627.0008027
0.233870968	29291.00		694.932330804383-823.73685473272i	7.0234375	1077.71673
0.237903226	29293.00		-62.9767201940766+576.270470352818i	7.14453125	579.7014079
0.241935484	29298.00		-230.868682199-77.9443058901876i	7.265625	243.6712196
0.245967742	29293.00		701.005610500331+910.537702864769i	7.38671875	1149.124786
0.25	29299.00		-661.187977424973-115.886398055121i	7.5078125	671.2668611
0.254032258	29295.00		-602.887102465925+41.8122087425413i	7.62890625	604.3352705
0.258064516	29283.00		-340.273653321556-652.146345749632i	7.75	735.5820929
0.262096774	29288.00		-606.401498034655-496.330023579293i	7.87109375	783.6238059
0.266129032	29285.00		-383.849479057838-867.261843573172i	7.9921875	948.4110543
0.27016129	29296.00		-1518.19647258906+236.083949794367i	8.11328125	1536.442697
0.274193548	29321.00		30.4271587984561+222.344406182946i	8.234375	224.4166815
0.278225806	29345.00		-42.9366231984664-1122.07722841245i	8.35546875	1122.898419
0.282258065	29366.00		463.477542062332+162.280251475063i	8.4765625	491.0665047
0.286290323	29385.00		-483.22774243951-556.82536028477i	8.59765625	737.2676128
0.290322581	29384.00		427.639778103323-875.242240928959i	8.71875	974.1276919
0.294354839	29381.00		1160.34395495793+573.846435160386i	8.83984375	1294.487476
0.298387097	29369.00		-378.44285682684-1868.31956351407i	8.9609375	1906.26257
0.302419355	29355.00		-181.669636972613-941.149160780225i	9.08203125	958.5226131
0.306451613	29353.00		181.795163714601-1544.3567962515i	9.203125	1555.020063
0.310483871	29347.00		-1491.22072218999-273.690289907622i	9.32421875	1516.128496
0.314516129	29350.00		-92.5968537381609-1880.81390933681i	9.4453125	1883.091909
0.318548387	29356.00		-516.724181731547+126.686409514039i	9.56640625	532.0275616
0.322580645	29354.00		-33.5751843885147-628.882908386979i	9.6875	629.7785368
0.326612903	29358.00		2008.0474429372+380.612742039372i	9.80859375	2043.800527
0.330645161	29356.00		700.228572668121-599.570551715668i	9.9296875	921.8486321
0.334677419	29363.00		-818.123040027966+1013.39593520695i	10.05078125	1302.419529
0.338709677	29368.00		-1175.29015436375-1664.02948081853i	10.171875	2037.22877
0.342741935	29374.00		-172.751753671002-598.372570531924i	10.29296875	622.8104861
0.346774194	29376.00		1139.43568848535+755.882265693331i	10.4140625	1367.359385
0.350806452	29368.00		946.235935587677-583.809349905226i	10.53515625	1111.843426
0.35483871	29380.00		401.776122587502+691.844908806044i	10.65625	800.0458928
0.358870968	29373.00		-783.047653905679-421.493704251202i	10.77734375	889.2809292
0.362903226	29376.00		623.327935193729+1435.59548848885i	10.8984375	1565.078951
0.366935484	29367.00		206.623801177795-496.652956871048i	11.01953125	537.9196546
0.370967742	29376.00		-941.724197361636-861.585776825771i	11.140625	1276.391208
0.375	29393.00		-515.443248916388+1428.84702373116i	11.26171875	1518.975168
0.379032258	29401.00		218.819977124056+195.322268633505i	11.3828125	293.3137757
0.383064516	29403.00		-351.996505260608+925.809527569523i	11.50390625	990.4669712
0.387096774	29400.00		389.649598686609+288.582952571201i	11.625	484.8782634
0.391129032	29388.00		-811.933155278849+1023.1629876721i	11.74609375	1306.176844
0.39516129	29387.00		1302.14957426476-524.659299419153i	11.8671875	1403.873532
0.399193548	29385.00		1249.26867694616-814.51043261522i	11.98828125	1491.341501
0.403225806	29379.00		-14.0264495859259-462.434538516541i	12.109375	462.647213
0.407258065	29375.00		443.782287802463-670.957636958624i	12.23046875	804.4419616
0.411290323	29375.00		-53.1587133556243-391.39486482281i	12.3515625	394.9883404
0.415322581	29362.00		1596.59312745847+387.318227224656i	12.47265625	1642.901404
0.419354839	29354.00		1257.63799699052-1253.97862480624i	12.59375	1775.98303
0.423387097	29345.00		-70.8399860569837-560.813326357139i	12.71484375	565.2697503
0.427419355	29334.00		-55.6162701427924-518.167286608524i	12.8359375	521.1434605
0.431451613	29332.00		867.694746338625+2.60297332717397i	12.95703125	867.6986506
0.435483871	29327.00		-377.88190962749+918.302600524687i	13.078125	993.0127913
0.439516129	29330.00		489.736738900801-447.32309595571i	13.19921875	663.2797491
0.443548387	29335.00		-1012.72737528058-320.061726416727i	13.3203125	1062.099922
0.447580645	29344.00		-404.394465360716+677.907573244266i	13.44140625	789.3627566
0.451612903	29353.00		355.159439798325-633.827700955781i	13.5625	726.5506054
0.455645161	29351.00		-798.490449926532+90.1346185014132i	13.68359375	803.5616019
0.459677419	29356.00		-153.602194672193-457.462664781368i	13.8046875	482.561627
0.463709677	29343.00		-92.8837895019963+51.644818347453i	13.92578125	106.2759879
0.467741935	29337.00		299.998488321672-196.350846783715i	14.046875	358.5425331
0.471774194	29317.00		291.825581818723-120.215296166357i	14.16796875	315.6166783
0.475806452	29301.00		644.416621860453+456.740677507441i	14.2890625	789.8638041
0.47983871	29284.00		-385.789178350479-234.044974991699i	14.41015625	451.2320251
0.483870968	29271.00		-24.9764033666339-98.521598283963i	14.53125	101.6382116
0.487903226	29261.00		-487.79789403615-80.2561851710806i	14.65234375	494.3559858
0.491935484	29265.00		-189.646739040149-703.309867647861i	14.7734375	728.4302682
0.495967742	29267.00		17.0846533597655-380.485089765751i	14.89453125	380.8684667
0.5	29266.00		143.588438827083-341.71762726423i	15.015625	370.6596506
