# SEGGER J-Link RTT Viewer V6.16a Terminal Log File
# Compiled: 12:44:10 on Jun  6 2017
# Logging started @ 04 Dec 2018 15:16:18
 0> <info> app: Unplug USE Detect
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	HR sample count 707
 0> <info> app: Peak Index,
 0> ,118,220,326,417,519,616
 0> ,END Peak Index,<info> app: HR Index,
 0> ,69,66,77,69,72<info> app: HR Mean 70 
 0> <info> app: HR SD 3.72 
 0> <info> app: ^_^ Final HR 70 
 0> <info> app: Peak Index,
 0> ,67,89,137,161,179,185,205,287,296,348,355,360,365,378,384,388,395,404,443,470,495,518,572,590,650
 0> ,END Peak Index,<info> app: HR Index,
 0> ,65,147,137,98,86,136,136,136,51,131,137,118<info> app: HR Mean 114 
 0> <info> app: HR SD 30.69 
 0> 
 0> hr,98,114746,138831,0.183624,536926108
 0> hr,99,114743,138835,é0.183624,536926108
 0> hr,100,114738,138839,}0.183624,536926108
 0> hr,101,114746,138844,É0.183624,536926108
 0> hr,102,114746,138842,0.183624,536926108
 0> hr,103,114738,138837,é0.183624,536926108
 0> hr,104,114736,138843,0.183624,536926108
 0> hr,105,114746,138850,‡0.183624,536926108
 0> hr,106,114747,138844,0.183624,536926108
 0> hr,107,114745,138844,0.183624,536926108
 0> hr,108,114742,138848,É0.183624,536926108
 0> hr,109,114733,138828,-1.183624,536926108
 0> hr,110,114736,138843,0.183624,536926108
 0> hr,111,114732,138839, é0.183624,536926108
 0> hr,112,114740,138827,-1.183624,536926108
 0> hr,113,114742,138837,0.183624,536926108
 0> hr,114,114750,138840,é0.183624,536926108
 0> hr,115,114741,138842,0.183624,536926108
 0> hr,116,114739,138838,0.183624,536926108
 0> hr,117,114746,138823,-1.183624,536926108
 0> hr,118,114733,138833,0.183624,536926108
 0> hr,119,114737,138833,0.183624,536926108
 0> hr,120,114751,138834,0.183624,536926108
 0> hr,121,114741,138818,-1.183624,536926108
 0> hr,122,114733,138839,é0.183624,536926108
 0> hr,123,114720,138822,-1.183624,536926108
 0> hr,124,114745,138836,0.183624,536926108
 0> hr,125,114746,138827,-1.183624,536926108
 0> hr,126,114739,138829,0.183624,536926108
 0> hr,127,114745,138833,0.183624,536926108
 0> hr,128,114745,138823,-1.183624,536926108
 0> hr,129,114746,138826,0.183624,536926108
 0> hr,130,114736,138835,0.183624,536926108
 0> hr,131,114743,138820,-1.183624,536926108
 0> hr,132,114739,138834,0.183624,536926108
 0> hr,133,114725,138828,0.183624,536926108
 0> hr,134,114738,138833,0.183624,536926108
 0> hr,135,114730,138819,-1.183624,536926108
 0> hr,136,114737,138841,1.183624,536926108
 0> hr,137,114741,138831,0.183624,536926108
 0> hr,138,114726,138822,-1.183624,536926108
 0> hr,139,114735,138813,-1.183624,536926108
 0> hr,140,114735,138809,-1.183624,536926108
