-14450	-5614	-9440
-13338	-2136	-12718
-16739	-4145	-12303
-14948	-585	-10919
-13687	879	-7437
-13160	1191	-6003
-13282	893	-8847
-9463	551	-10243
-11836	-117	-11559
-9307	-2872	-13505
-8852	-3781	-14210
-7943	-4171	-14874
-9678	-4507	-15260
8041	-11742	-8934
-8048	-11719	-8990
-8150	-11694	-8854
-8019	-11749	-9194
-8108	-11743	-9078
-8003	-11767	-9051
-8079	-11636	-8908
-8037	-11718	-9037
-8047	-11761	-9040
-8080	-11786	-9000
-8187	-11798	-8948
-8088	-11689	-8951
-8086	-11805	-9055
-8113	-11760	-8977
-8063	-11705	-9012
-8011	-11734	-8975
-8217	-11802	-9074
-8265	-11851	-9089
-7947	-11770	-9087
-8059	-12101	-9268
-8187	-11816	-8973
-7666	-12196	-9885
-7108	-12903	-11176
-6109	-13181	-12150
-4457	-12833	-14266
-942	-12677	-14835
351	-9216	-14184
-1505	-6651	-11467
-36	-5692	-9648
-3616	-4178	-9444
-5994	-3168	-2502
-22842	-28398	-11111
-10694	-19397	-7336
-6045	-8071	-10473
-4180	-18671	-7748
-9518	-14204	-8798
-8759	-13569	-8499
-8155	-14398	-7217
-8792	-16128	-4619
-7901	-16849	-4669
-9683	-16878	-2577
-8918	-16304	-3204
-9377	-17212	-4130
-7001	-20062	-3117
-7663	-16750	-5389
-4971	-15535	-3884
-1439	-11845	-4750
-937	-9211	-3910
-3150	-9990	-3954
128	-14122	792
1413	-16136	4525
-3239	-13529	5894
-8333	-16682	832
-7825	-18162	-1051
-4505	-17578	2206
-4747	-16104	3303
-3184	-15769	3662
-1850	-16515	2709
-2074	-15638	847
-723	-14782	-780
140	-14753	-291
-4905	-13151	-5341
-8524	-18548	-4814
-8867	-16605	-9437
-10040	-16456	-7243
-7518	-15437	-5121
-8799	-13935	-7634
-9499	-12431	-5811
-8157	-11343	-6799
-7242	-11984	-2954
-8182	-11526	-4172
-8449	-11596	-3625
-8258	-11343	-7386
-9178	-12350	-8444
-7571	-11965	-9185
-11044	-10091	-11711
-11121	-10121	-9740
-10718	-11510	-13075
-11534	-9984	-12166
-11021	-10671	-9822
-10484	-11378	-9159
-8926	-13008	-7786
-7105	-13361	-6431
-7316	-14232	-6380
-6672	-13715	-434
-3854	-14187	1523
-4019	-14500	-861
-6022	-14236	609
-8032	-18077	-984
-10191	-17742	-2813
-12965	-20848	-7779
-15733	-20877	-7106
-2575	-19213	-4265
2767	-16388	-9386
-24734	-16348	-3322
-5119	-19127	161
-7343	-28476	4591
7851	-32768	12474
4200	-25579	7102
2523	-8396	2890
936	-3127	-115
-464	-13592	-408
2375	-17524	2843
1293	-16517	-1407
679	-15986	-3265
298	-16787	-2763
-2853	-17037	-2000
-219	-16021	-2286
-1629	-15281	-5188
-5058	-13043	-3063
-1795	-13375	294
-3154	-14046	581
-1295	-12080	478
-2077	-19772	901
-2304	-20298	1541
-2396	-18662	1161
-1960	-14804	-39
-2154	-13008	-291
-1798	-12137	217
-1695	-11604	537
-2611	-15821	871
-3217	-22245	1275
-3134	-20636	1845
-2985	-19845	1026
-4079	-17129	1275
-5079	-13554	254
-4578	-10469	-234
-3445	-10241	557
-3574	-15074	564
-3020	-19004	231
-2705	-20213	174
-3887	-21496	-831
-4102	-17893	-797
-3175	-14717	-1079
-4613	-12276	-1307
-4330	-12397	-1154
-4770	-14719	-199
-4257	-17930	-46
-3767	-19307	106
-3732	-19065	53
-3987	-16733	27
-3867	-14437	-124
-3870	-13372	-180
-4155	-14059	-851
-4534	-16405	-1572
-4484	-18052	-692
-4483	-18597	-161
-4130	-17760	-57
-3551	-15931	-185
-3652	-14911	-434
-3169	-14564	-93
-3240	-15673	156
-3542	-17241	486
-3865	-17924	347
-4122	-17781	-205
-3868	-16662	-571
-3572	-15398	-582
-3268	-15042	-83
-3559	-15430	217
-3469	-16565	584
-3660	-17421	431
-3983	-17427	388
-3767	-16930	-15
-3793	-15825	-522
-3787	-15335	-248
-3570	-15605	42
-3661	-16212	311
-3695	-16736	396
-3645	-16947	356
-3775	-16597	85
-3828	-16244	-384
-3873	-16075	-284
-4014	-16051	-80
-3731	-16048	166
-3682	-16228	247
-3847	-16521	117
-4040	-16667	-111
-4229	-16697	-372
-4291	-16668	27
-4301	-16209	118
-3768	-15923	309
-3700	-15888	354
-4046	-16228	356
-4054	-16572	430
-3871	-16715	206
-3850	-16545	272
-3663	-16199	-2
-3538	-16126	286
-3791	-16231	306
-3780	-16247	268
-3898	-16213	336
-3935	-16221	327
-3915	-16441	420
-3877	-16491	275
-3875	-16484	212
-3777	-16308	68
-3716	-16391	138
-3665	-16362	148
-3688	-16238	251
-3762	-16193	366
-3797	-16090	271
-3745	-16182	371
-3964	-16272	184
-3936	-16375	29
-3964	-16529	91
-3983	-16420	125
-3991	-16368	180
-3980	-16274	181
-4056	-16235	199
-3845	-16154	12
-3687	-16313	101
-3718	-16229	140
-3728	-16328	159
-3697	-16361	295
-3866	-16568	212
-3928	-16484	15
-4000	-16310	42
