50044,-15498,0,
50064,-15497,2,
50063,-15495,4,
50056,-15494,5,
50074,-15492,6,
50057,-15492,8,
50072,-15490,9,
50076,-15488,11,
50086,-15484,14,
50094,-15481,16,
50081,-15480,19,
50101,-15477,22,
50081,-15476,24,
50079,-15475,27,
50060,-15475,29,
49985,-15526,-17,
50002,-15527,-16,
50014,-15527,-15,
50018,-15526,-15,
50050,-15524,-14,
50045,-15522,-13,
50040,-15520,-12,
50043,-15517,-9,
50027,-15517,-6,
50019,-15517,-3,
50013,-15517,0,
49988,-15519,3,
49996,-15520,6,
49990,-15522,9,
49979,-15524,11,
49962,-15530,11,
49961,-15533,8,
49952,-15536,5,
49936,-15540,0,
49952,-15543,-6,
49948,-15546,-13,
49938,-15549,-20,
49937,-15552,-28,
49934,-15558,-41,
49920,-15562,-47,
49939,-15564,-52,
49913,-15568,-57,
49930,-15570,-60,
49922,-15573,-62,
49939,-15574,-64,
49940,-15576,-65,
49918,-15579,-65,
49926,-15581,-65,
49917,-15583,-64,
49925,-15585,-63,
49915,-15588,-59,
49926,-15590,-57,
49938,-15590,-55,
49925,-15592,-53,
49939,-15592,-51,
49943,-15592,-48,
49948,-15592,-45,
49942,-15592,-43,
49940,-15592,-37,
49952,-15592,-33,
49963,-15591,-30,
49953,-15590,-26,
49971,-15589,-22,
49963,-15588,-18,
49990,-15585,-14,
49977,-15584,-10,
49970,-15583,-5,
49966,-15582,-1,
49977,-15580,3,
49985,-15579,7,
49954,-15579,14,
49952,-15580,17,
49950,-15580,19,
49941,-15581,20,
49936,-15582,21,
49927,-15584,20,
49920,-15586,19,
49954,-15586,17,
49925,-15588,10,
49924,-15590,6,
49914,-15592,1,
49923,-15593,-3,
49921,-15595,-8,
49913,-15596,-12,
49896,-15599,-16,
49903,-15601,-19,
49911,-15605,-25,
49885,-15608,-28,
49896,-15610,-30,
49908,-15611,-32,
49886,-15613,-34,
49905,-15615,-36,
49901,-15616,-37,
49903,-15617,-39,
49912,-15617,-39,
49910,-15618,-40,
49911,-15619,-40,
49903,-15619,-39,
49923,-15620,-37,
49908,-15620,-35,
49921,-15620,-32,
49904,-15621,-30,
49895,-15622,-27,
49932,-15621,-24,
49934,-15620,-21,
49938,-15619,-18,
49955,-15615,-13,
49954,-15613,-10,
49941,-15612,-6,
49969,-15609,-3,
49961,-15607,1,
49967,-15605,5,
49961,-15603,9,
49947,-15602,13,
49950,-15601,17,
49915,-15602,21,
49943,-15602,25,
49923,-15603,27,
49933,-15603,30,
49914,-15605,30,
49913,-15606,29,
49920,-15606,26,
49902,-15608,23,
49906,-15610,18,
49897,-15611,14,
49896,-15613,8,
49906,-15616,-2,
49887,-15618,-7,
49897,-15620,-12,
49879,-15622,-16,
49882,-15624,-20,
49885,-15626,-23,
49872,-15628,-26,
49868,-15631,-29,
49892,-15633,-33,
49899,-15633,-35,
49895,-15634,-36,
49885,-15635,-37,
49893,-15635,-37,
49895,-15636,-37,
49889,-15636,-36,
49891,-15637,-35,
49895,-15637,-33,
49886,-15638,-31,
49897,-15638,-29,
49897,-15638,-26,
49904,-15638,-21,
49893,-15639,-19,
49888,-15639,-17,
49928,-15637,-14,
49926,-15636,-12,
49941,-15633,-10,
49934,-15631,-8,
49946,-15629,-6,
49967,-15623,1,
49957,-15620,4,
49960,-15618,9,
49977,-15614,14,
49953,-15612,19,
49965,-15609,24,
49968,-15607,30,
49950,-15606,35,
49961,-15604,40,
49931,-15604,44,
49936,-15604,47,
49918,-15605,49,
49907,-15607,49,
49882,-15610,47,
49905,-15611,43,
49903,-15613,39,
49891,-15615,33,
49890,-15617,26,
49901,-15618,18,
49872,-15621,11,
49884,-15624,-5,
49867,-15627,-12,
49862,-15630,-18,
49868,-15632,-24,
49867,-15635,-29,
49848,-15638,-33,
49864,-15640,-37,
49864,-15642,-40,
49874,-15644,-42,
49852,-15646,-44,
49855,-15648,-46,
49876,-15649,-47,
49879,-15652,-49,
49870,-15653,-49,
49854,-15655,-48,
49862,-15656,-48,
49857,-15657,-47,
49871,-15658,-45,
49874,-15658,-43,
49884,-15658,-41,
49858,-15660,-36,
49882,-15660,-33,
49875,-15660,-30,
49872,-15660,-28,
49875,-15660,-25,
49884,-15660,-22,
49910,-15658,-19,
49904,-15656,-17,
49929,-15651,-10,
49931,-15648,-7,
49927,-15645,-3,
49920,-15644,1,
49914,-15642,6,
49907,-15641,11,
49900,-15641,15,
49911,-15640,20,
49897,-15640,24,
49887,-15641,28,
49879,-15642,30,
49878,-15643,31,
49858,-15646,30,
49843,-15649,28,
49847,-15652,24,
49870,-15652,19,
49856,-15654,13,
49869,-15655,7,
49852,-15657,0,
49846,-15659,-6,
49847,-15663,-18,
49854,-15664,-23,
49851,-15666,-27,
49850,-15667,-30,
49859,-15668,-33,
49854,-15668,-34,
49868,-15668,-35,
49846,-15670,-35,
49847,-15671,-35,
49845,-15672,-34,
49862,-15672,-33,
49863,-15673,-31,
49858,-15673,-28,
49865,-15673,-26,
49859,-15673,-24,
49865,-15673,-22,
49856,-15674,-20,
49874,-15673,-18,
49872,-15673,-16,
49877,-15672,-14,
49896,-15669,-9,
49893,-15667,-7,
49877,-15667,-4,
49894,-15665,-2,
49885,-15664,1,
49902,-15663,4,
49896,-15661,7,
49915,-15659,10,
49930,-15653,16,
49912,-15651,20,
49920,-15649,23,
49908,-15647,26,
49926,-15645,29,
49920,-15643,32,
49903,-15643,34,
49884,-15643,36,
49898,-15643,38,
49884,-15644,39,
49873,-15645,39,
49883,-15645,38,
49864,-15649,34,
49871,-15650,30,
49863,-15652,25,
49863,-15653,20,
49861,-15654,14,
49855,-15656,8,
49851,-15658,2,
49840,-15660,-4,
49841,-15664,-15,
49838,-15666,-19,
49834,-15668,-23,
49852,-15669,-27,
49849,-15671,-30,
49846,-15672,-32,
49850,-15673,-34,
49849,-15674,-35,
49840,-15675,-36,
49840,-15676,-36,
49853,-15677,-36,
49858,-15677,-35,
49843,-15679,-33,
49862,-15679,-32,
49861,-15678,-30,
49867,-15678,-28,
49850,-15678,-26,
49858,-15678,-23,
49888,-15677,-21,
49877,-15676,-18,
49884,-15672,-12,
49886,-15671,-9,
49900,-15669,-5,
49888,-15667,-2,
49897,-15666,2,
49901,-15664,6,
49900,-15662,10,
49918,-15659,14,
49933,-15653,22,
49929,-15650,26,
49947,-15646,30,
49923,-15644,33,
49940,-15641,37,
49934,-15639,40,
49905,-15638,43,
49914,-15637,46,
49897,-15637,48,
49894,-15638,50,
49878,-15639,51,
49882,-15640,50,
49871,-15643,46,
49857,-15645,42,
49855,-15647,36,
49869,-15649,30,
49856,-15651,23,
49847,-15653,15,
49842,-15656,7,
49842,-15658,-1,
49829,-15663,-15,
49827,-15666,-22,
49834,-15668,-27,
49832,-15670,-32,
49836,-15672,-36,
49839,-15674,-40,
49827,-15676,-42,
49812,-15679,-45,
49826,-15681,-46,
49833,-15682,-47,
49834,-15684,-48,
49811,-15686,-49,
49841,-15689,-48,
49844,-15689,-48,
49817,-15691,-47,
49835,-15691,-45,
49832,-15692,-44,
49830,-15693,-42,
49824,-15694,-40,
49835,-15695,-38,
49832,-15695,-33,
49846,-15695,-31,
49836,-15695,-28,
49844,-15695,-26,
49846,-15695,-23,
49872,-15693,-20,
49879,-15691,-18,
49888,-15688,-15,
49877,-15684,-8,
49893,-15682,-4,
49885,-15680,1,
49886,-15678,5,
49881,-15677,10,
49876,-15676,15,
49860,-15676,19,
49853,-15676,23,
49864,-15676,27,
49856,-15676,29,
49847,-15677,31,
49842,-15678,31,
49829,-15681,28,
49824,-15683,25,
49811,-15685,21,
49816,-15688,16,
49803,-15690,10,
49814,-15692,4,
49808,-15695,-2,
49808,-15697,-8,
49816,-15700,-20,
49809,-15701,-25,
49792,-15704,-30,
49798,-15706,-33,
49793,-15709,-37,
49800,-15710,-39,
49803,-15712,-41,
49805,-15713,-43,
49809,-15714,-43,
49804,-15715,-43,
49820,-15715,-43,
49803,-15716,-42,
49820,-15716,-40,
49820,-15716,-38,
49825,-15716,-35,
49807,-15717,-33,
49822,-15717,-30,
49819,-15717,-27,
49830,-15716,-24,
49840,-15715,-20,
49844,-15713,-13,
