# SEGGER J-Link RTT Viewer V6.16a Terminal Log File											
# Compiled: 12:44:10 on Jun  6 2017											
# Logging started @ 04 Dec 2018 10:03:04											
 0> <info> app: BATT Reading...											
 0> <info> app: Right Press											
 0> <info> app: Left Press											
 0> <info> app: BATT Reading...											
 0> <info> app: [OK]	Max30102 Already and background working is begin										
 0> 											
 0> <info> app: BATT Reading...											
 0> <info> app: [OK]	HR sample count 707										
 0> <info> app: Peak Index											
 0> 	31	124	219	312	401	489	580	672			
 0> 	END Peak Index	<info> app: HR Index									
 0> 	90	88	90	94	95	92	91<info> app: HR Mean 91 				
 0> <info> app: HR SD 2.25 											
 0> 											
 0> hr	105	98907	128002	-30	-1	54					
 0> hr	106	98925	128012	-27	-1	62					
 0> hr	107	98915	128029	-24	-1	76					
 0> hr	108	98922	128024	-21	-1	67					
 0> hr	109	98921	128026	-18	-1	65					
 0> hr	110	98929	128047	-15	-1	83					
 0> hr	111	98934	128030	-11	-1	62					
 0> hr	112	98917	128013	-8	-1	42					
 0> hr	113	98925	128012	-5	-1	39					
 0> hr	114	98912	127987	-2	-1	12					
 0> hr	115	98911	127965	0	0	-10					
 0> hr	116	98911	127963	3	0	-11					
 0> hr	117	98894	127957	5	1	-17					
 0> hr	118	98893	127937	7	1	-36					
 0> hr	119	98892	127923	9	1	-48					
 0> hr	120	98898	127908	10	1	-61					
 0> hr	121	98884	127903	11	1	-63					
 0> hr	122	98879	127885	12	1	-77					
 0> hr	123	98878	127877	12	1	-82					
 0> hr	124	98879	127858	12	1	-96					
 0> hr	125	98867	127850	11	1	-100					
 0> hr	126	98868	127871	11	0	-74					
 0> hr	127	98880	127840	9	0	-101					
 0> hr	128	98859	127828	8	0	-108					
 0> hr	129	98861	127825	6	-1	-105					
 0> hr	130	98860	127814	4	-1	-111					
 0> hr	131	98857	127820	2	-1	-100					
 0> hr	132	98850	127803	0	-1	-112					
 0> hr	133	98848	127790	-3	-1	-119					
 0> hr	134	98838	127784	-6	-1	-119					
 0> hr	135	98837	127763	-9	-1	-134					
 0> hr	136	98839	127753	-12	-1	-137					
 0> hr	137	98832	127763	-15	-1	-120					
 0> hr	138	98847	127745	-19	-1	-132					
 0> hr	139	98854	127749	-23	-1	-122					
 0> hr	140	98837	127747	-27	-1	-118					
 0> hr	141	98830	127744	-30	-1	-115					
 0> hr	142	98840	127738	-34	-1	-115					
 0> hr	143	98837	127744	-38	-1	-103					
 0> hr	144	98844	127745	-42	-1	-97					
 0> hr	145	98840	127749	-45	-1	-88					
 0> hr	146	98845	127747	-49	-1	-86					
 0> hr	147	98837	127748	-52	-1	-80					
 0> hr	148	98822	127746	-55	-1	-78					
 0> hr	149	98837	127740	-58	-1	-80					
 0> hr	150	98841	127725	-61	-1	-91					
 0> hr	151	98845	127720	-63	-1	-92					
 0> hr	152	98836	127715	-66	-1	-92					
 0> hr	153	98842	127726	-68	-1	-76					
 0> hr	154	98833	127731	-71	-1	-68					
 0> hr	155	98838	127714	-73	-1	-81					
 0> hr	156	98843	127721	-74	-1	-70					
 0> hr	157	98840	127723	-76	-1	-65					
 0> hr	158	98853	127728	-78	-1	-56					
 0> hr	159	98839	127711	-79	-1	-71					
 0> hr	160	98838	127732	-80	-1	-46					
 0> hr	161	98848	127711	-81	-1	-65					
 0> hr	162	98842	127713	-82	-1	-59					
 0> hr	163	98840	127705	-83	-1	-64					
 0> hr	164	98848	127722	-83	-1	-44					
 0> hr	165	98847	127727	-83	-1	-37					
 0> hr	166	98851	127708	-83	-1	-54					
 0> hr	167	98849	127713	-83	-1	-46					
 0> hr	168	98847	127721	-83	-1	-36					
 0> hr	169	98852	127724	-83	-1	-31					
 0> hr	170	98848	127726	-82	-1	-28					
 0> hr	171	98845	127720	-82	-1	-32					
 0> hr	172	98850	127731	-81	-1	-20					
 0> hr	173	98853	127739	-80	-1	-11					
 0> hr	174	98861	127741	-79	-1	-8					
 0> hr	175	98857	127744	-78	-1	-5					
 0> hr	176	98865	127733	-76	-1	-15					
 0> hr	177	98859	127736	-75	-1	-12					
 0> hr	178	98869	127743	-73	-1	-4					
 0> hr	179	98863	127747	-71	-1	0					
 0> hr	180	98866	127751	-69	-1	3					
 0> hr	181	98868	127743	-67	-1	-4					
 0> hr	182	98872	127748	-65	-1	0					
 0> hr	183	98867	127744	-63	-1	-3					
 0> hr	184	98857	127747	-61	-1	0					
 0> hr	185	98866	127747	-58	-1	0					
 0> hr	186	98879	127756	-56	-1	8					
 0> hr	187	98868	127751	-54	-1	3					
 0> hr	188	98891	127746	-51	-1	-1					
 0> hr	189	98870	127766	-49	-1	18					
 0> hr	190	98865	127756	-47	-1	7					
 0> hr	191	98873	127765	-44	-1	16					
 0> hr	192	98881	127754	-42	-1	4					
 0> hr	193	98883	127761	-39	-1	11					
 0> hr	194	98865	127754	-37	-1	3					
 0> hr	195	98885	127765	-35	-1	14					
 0> hr	196	98887	127775	-32	-1	23					
 0> hr	197	98883	127783	-30	-1	30					
 0> hr	198	98892	127782	-28	-1	27					
 0> hr	199	98895	127788	-25	-1	32					
 0> hr	200	98888	127774	-23	-1	16					
 0> hr	201	98909	127803	-21	-1	45					
 0> hr	202	98894	127809	-18	-1	48					
 0> hr	203	98921	127823	-16	-1	60					
 0> hr	204	98923	127842	-13	-1	76					
 0> hr	205	98920	127841	-11	-1	71					
 0> hr	206	98921	127836	-8	-1	62					
 0> hr	207	98928	127840	-5	-1	63					
 0> hr	208	98931	127824	-2	-1	44					
 0> hr	209	98906	127804	0	0	22					
 0> hr	210	98908	127800	2	0	17					
 0> hr	211	98912	127772	4	1	-11					
 0> hr	212	98906	127765	6	1	-18					
 0> hr	213	98898	127739	8	1	-43					
 0> hr	214	98910	127748	10	1	-31					
 0> hr	215	98886	127712	11	1	-66					
 0> hr	216	98889	127699	12	1	-76					
 0> hr	217	98889	127684	12	1	-87					
 0> hr	218	98890	127691	12	1	-75					
 0> hr	219	98883	127678	12	1	-85					
 0> hr	220	98892	127670	11	1	-88					
 0> hr	221	98883	127660	10	0	-94					
 0> hr	222	98870	127670	9	0	-79					
 0> hr	223	98866	127640	8	0	-105					
 0> hr	224	98866	127631	6	-1	-109					
 0> hr	225	98875	127625	4	-1	-109					
 0> hr	226	98862	127621	1	-1	-108					
 0> hr	227	98868	127608	0	-1	-116					
 0> hr	228	98845	127598	-3	-1	-120					
 0> hr	229	98864	127596	-6	-1	-116					
 0> hr	230	98850	127589	-9	-1	-117					
 0> hr	231	98858	127579	-12	-1	-121					
 0> hr	232	98843	127570	-16	-1	-124					
 0> hr	233	98864	127582	-19	-1	-106					
 0> hr	234	98853	127559	-23	-1	-123					
 0> hr	235	98859	127573	-27	-1	-103					
 0> hr	236	98871	127582	-30	-1	-89					
 0> hr	237	98847	127559	-34	-1	-108					
 0> hr	238	98853	127568	-37	-1	-93					
 0> hr	239	98856	127554	-41	-1	-102					
 0> hr	240	98852	127548	-44	-1	-103					
 0> hr	241	98855	127554	-47	-1	-92					
 0> hr	242	98864	127565	-50	-1	-76					
 0> hr	243	98862	127557	-53	-1	-81					
 0> hr	244	98862	127546	-56	-1	-88					
 0> hr	245	98848	127551	-59	-1	-78					
 0> hr	246	98859	127552	-61	-1	-73					
 0> hr	247	98849	127546	-64	-1	-76					
 0> hr	248	98851	127541	-66	-1	-77					
 0> hr	249	98866	127528	-68	-1	-86					
 0> hr	250	98859	127546	-70	-1	-64					
 0> hr	251	98859	127532	-72	-1	-74					
 0> hr	252	98859	127535	-74	-1	-68					
 0> hr	253	98867	127533	-75	-1	-66					
 0> hr	254	98866	127545	-76	-1	-51					
 0> hr	255	98855	127551	-77	-1	-42					
 0> hr	256	98866	127531	-78	-1	-60					
 0> hr	257	98863	127534	-79	-1	-54					
 0> hr	258	98867	127530	-80	-1	-55					
 0> hr	259	98866	127547	-80	-1	-36					
 0> hr	260	98875	127545	-80	-1	-36					
 0> hr	261	98885	127540	-80	-1	-39					
 0> hr	262	98876	127550	-80	-1	-27					
 0> hr	263	98882	127549	-80	-1	-27					
 0> hr	264	98878	127544	-79	-1	-30					
 0> hr	265	98881	127549	-79	-1	-24					
 0> hr	266	98885	127554	-78	-1	-18					
 0> hr	267	98874	127557	-77	-1	-14					
 0> hr	268	98888	127564	-76	-1	-6					
